gene,relevance,abs_relevance,input_value
APOF,0.0054464247,0.0054464247,-0.2551706
ST8SIA3,0.00527677,0.00527677,2.51914
PTEN,-0.0051754573,0.0051754573,-0.5331507
TG,0.004883064,0.004883064,-0.16086851
GAL3ST1,0.0046840594,0.0046840594,1.2660339
BICD2,0.004484604,0.004484604,-0.05589012
MYL4,-0.0036247303,0.0036247303,-0.80650216
SCGB2A2,0.003505253,0.003505253,-0.5118978
STK32A,-0.0031198836,0.0031198836,1.7873142
SOX21,0.002982205,0.002982205,1.7542143
CRB3,-0.0029700333,0.0029700333,-2.9310653
PRLR,-0.0027615821,0.0027615821,-1.1584426
GPR17,0.002727353,0.002727353,2.4423237
CLCA1,0.0023008788,0.0023008788,-0.009331119
CLASP2,0.0021064375,0.0021064375,2.7529223
HOXA10,0.0020315708,0.0020315708,-0.9186739
PYCR1,0.0018759269,0.0018759269,-0.019974083
SIX4,0.0018478332,0.0018478332,0.039085317
SFTPD,-0.0011127638,0.0011127638,0.006593463
PEA15,0.0007797624,0.0007797624,3.248733
GALNT9,0.0004833611,0.0004833611,1.5232239
EGFR,-0.00038872662,0.00038872662,0.3956375
CITED1,0.00031184117,0.00031184117,-0.0029735998
GALNT6,2.0462385e-05,2.0462385e-05,-0.0021971073
